fund,account,subaccount,long_account,vendor,invoice,line_item_desc,check,date,amount
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,2954,COM TX 120622/2954,82467,2022-12-08,50.00
1000,42,42200-515310-00000000-,1000-42-42200-515310-00000000-,"ACUITY SPECIALTY PRODUCTS, INC.",9008103198,ZEP HAND SOAPS,83004,2022-12-27,1279.14
1000,00,00000-231402-00000000-,1000-00-00000-231402-00000000-,ADMINISTRATIVE OFFICE OF COURTS,NOVEMBER 2022,NOVEMBER 2022 MONTHLY REPORT,83047,2022-12-27,10288.14
1000,00,00000-210290-00000000-,1000-00-00000-210290-00000000-,AFLAC,U1199/909815,NOVEMBER 2022 CANCER & OFF-THE-JOB ACCIDENT PREM,90000339,2022-12-16,3078.70
1000,00,00000-210300-00000000-,1000-00-00000-210300-00000000-,AFLAC,U1199/909815,NOVEMBER 2022 CANCER & OFF-THE-JOB ACCIDENT PREM,90000339,2022-12-16,2126.62
1000,17,17300-520200-00000000-,1000-17-17300-520200-00000000-,"AHEAD, INC",BD0060631,W.O. 159882 DELL ISILON REFRESH,82469,2022-12-09,486665.40
1000,17,17300-520200-00000000-,1000-17-17300-520200-00000000-,"AHEAD, INC",BD0060632,W.O. 159882 DELL ISILON REFRESH,82469,2022-12-09,482159.14
1000,50,00000-515790-00000000-,1000-50-00000-515790-00000000-,ALABAMA ANIMAL CONTROL ASSOCIATION (AACA),AACA 2023 CERT,2023 CERTIFICATION FOR 4 ANIMAL SERVICES OFFICERS,82611,2022-12-13,1600.00
1000,41,41100-515340-00000000-,1000-41-41100-515340-00000000-,ALABAMA ASSOCIATION OF CHIEFS OF POLICE,16786,2023 MEMBERSHIP DUES - K. GILES,82366,2022-12-07,100.00
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA CHILD SUPPORT PAYMENT CENTER,291159,Payroll Run 1 - Warrant 221211,82714,2022-12-16,22781.97
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA CHILD SUPPORT PAYMENT CENTER,292633,Payroll Run 1 - Warrant 221225,83053,2022-12-30,22261.86
1000,00,00000-231404-00000000-,1000-00-00000-231404-00000000-,ALABAMA CRIME VICTIMS COMPENSATION COMMISSION,NOV 22 MONTHLY REP,NOV 22 MONTHLY REPORT,83005,2022-12-27,1310.00
1000,00,00000-231405-00000000-,1000-00-00000-231405-00000000-,ALABAMA CRIME VICTIMS COMPENSATION COMMISSION,NOV 22 MONTHLY REP,NOV 22 MONTHLY REPORT,83005,2022-12-27,1645.00
1000,53,53200-513010-PK1030XX-,1000-53-53200-513010-PK1030XX-,ALABAMA DEPARTMENT OF LABOR,E104463,ELEVATOR CERTIFICATES OF OPERATION,82470,2022-12-09,225.00
1000,53,53200-513010-PK1040XX-,1000-53-53200-513010-PK1040XX-,ALABAMA DEPARTMENT OF LABOR,E104463,ELEVATOR CERTIFICATES OF OPERATION,82470,2022-12-09,150.00
1000,53,53200-513010-PK1060XX-,1000-53-53200-513010-PK1060XX-,ALABAMA DEPARTMENT OF LABOR,E104463,ELEVATOR CERTIFICATES OF OPERATION,82470,2022-12-09,150.00
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 030701,MU TAG TRANSFER FOR EQUIPMENT# 030701,82222,2022-12-05,1.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 030699,MU TAG TANSFER FOR EQUIPMENT# 030699,82222,2022-12-05,1.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 012060,MU TAG FOR EQUIPMENT# 012060,82472,2022-12-09,24.25
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA DEPARTMENT OF REVENUE,291161,Payroll Run 1 - Warrant 221211,82715,2022-12-16,1535.69
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 22571-022574,MU TAG TRANSFER FOR EQUIPMENT# 22571-022574,82731,2022-12-16,5.00
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG#030709-10,MU TAG TRANSFER FOR EQUIP# 030709-030710,82730,2022-12-19,2.50
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 094613,MU TAG TRANSFER FOR EQUIP# 094613,82945,2022-12-22,1.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 022396-401,MU TAG FOR EQUIPMENT# 022396-022401,82946,2022-12-22,7.50
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 030708,MU TAG TRANSFER FOR EQUIPMENT# 030708,82947,2022-12-22,1.25
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA DEPARTMENT OF REVENUE,292635,Payroll Run 1 - Warrant 221225,83054,2022-12-30,1690.84
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 022371,MU TAG TRANSFER FOR EQUIPMENT# 022371,PCard,2022-12-29,1.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,MUTAG# 022368,MU TAG TRANSFER-EQUIPMENT# 022368,PCard,2022-12-29,1.25
