fund,account,subaccount,long_account,vendor,invoice,line_item_desc,check,date,amount
1000,19,00000-515370-00000000-,1000-19-00000-515370-00000000-,535 GROUP LLC,2023-03,GOV AFFAIRS RETAINER-JAN 23,83379,2023-01-11,9000.00
1000,19,00000-515370-00000000-,1000-19-00000-515370-00000000-,535 GROUP LLC,2022-12,GOV AFFAIRS RETAINER DEC 22,83379,2023-01-11,9000.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,2776,COM TX 122122/2776,83116,2023-01-03,50.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006023,COM TX 122822/I006023,83116,2023-01-03,150.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006023,COM TX 122822/I006023,83116,2023-01-03,165.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006023,COM TX 122822/I006023,83116,2023-01-03,200.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006034,COM TX 122822/I006034,83116,2023-01-03,120.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006034,COM TX 122822/I006034,83116,2023-01-03,150.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006037,COM TX 122822/I006037,83116,2023-01-03,90.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006037,COM TX 122822/I006037,83116,2023-01-03,150.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006092,COM TX 010623/I006092,83380,2023-01-11,125.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006092,COM TX 010623/I006092,83380,2023-01-11,150.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006093,COM TX 010623/I006093,83380,2023-01-11,125.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I006093,COM TX 010623/I006093,83380,2023-01-11,150.00
1000,50,00000-515340-00000000-,1000-50-00000-515340-00000000-,ACQUISITION ASSOCIATES INC,COHUNT1229,BLANKET PO PET MICROCHIPS,83115,2023-01-04,11160.00
1000,30,30600-515340-00000000-,1000-30-30600-515340-00000000-,ADOLPH KIEFER & ASSOCIATES LLC,INV001272819,SAFETY EQUIPMENT FOR WATER CLASSES,83329,2023-01-09,87.00
1000,30,30600-515340-00000000-,1000-30-30600-515340-00000000-,ADOLPH KIEFER & ASSOCIATES LLC,INV001272818,SAFETY EQUIPMENT FOR WATER CLASSES,83329,2023-01-09,365.00
