fund,account,subaccount,long_account,vendor,invoice,line_item_desc,check,date,amount
1000,00,00000-210290-00000000-,1000-00-00000-210290-00000000-,AFLAC,407126,PPE 12/12/21 CANCER & OFF-THE-JOB ACCIDENT PREMIUM,71416,2022-01-24,1847.79
1000,00,00000-210300-00000000-,1000-00-00000-210300-00000000-,AFLAC,407126,PPE 12/12/21 CANCER & OFF-THE-JOB ACCIDENT PREMIUM,71416,2022-01-24,1247.81
1000,00,00000-210290-00000000-,1000-00-00000-210290-00000000-,AFLAC,550904,PPE 12/26/21 CANCER & OFF-THE-JOB ACCIDENT PREMIUM,71416,2022-01-24,1847.79
1000,00,00000-210300-00000000-,1000-00-00000-210300-00000000-,AFLAC,550904,PPE 12/26/21 CANCER & OFF-THE-JOB ACCIDENT PREMIUM,71416,2022-01-24,1240.56
1000,00,00000-210290-00000000-,1000-00-00000-210290-00000000-,AFLAC,791700,PPE 1/9/22 CANCER & OFF-THE-JOB ACCIDENT PREMIUM,71416,2022-01-24,1821.99
1000,00,00000-210300-00000000-,1000-00-00000-210300-00000000-,AFLAC,791700,PPE 1/9/22 CANCER & OFF-THE-JOB ACCIDENT PREMIUM,71416,2022-01-24,1275.30
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA CHILD SUPPORT PAYMENT CENTER,251794,Payroll Run 1 - Warrant 220123,71524,2022-01-28,22706.50
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA DEPARTMENT OF REVENUE,251796,Payroll Run 1 - Warrant 220123,71525,2022-01-28,461.73
1000,14,14300-513010-00000000-,1000-14-14300-513010-00000000-,ALABAMA FLAG & BANNER,335761,2022 BLANKET PO FLAGS-SUPPLIES-REPAIRS,71547,2022-01-26,624.00
1000,55,55300-515340-00000000-,1000-55-55300-515340-00000000-,"ALABAMA INDUSTRIAL SUPPLY, LLC",HV-T00001968,REPLACE HYDRAULIC HOSE,71326,2022-01-19,421.22
1000,17,17100-515250-00000000-,1000-17-17100-515250-00000000-,ALABAMA LAW ENFORCEMENT AGENCY,ALEA22000331,NCIC ACCESS   PD    BILL DATE:  01/05/22,71420,2022-01-19,12210.00
1000,43,00000-515370-00000000-,1000-43-00000-515370-00000000-,ALABAMA LAW ENFORCEMENT AGENCY,ALEA22000330,SNAP NON-ENTRY,71549,2022-01-25,900.00
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA LAW ENFORCEMENT AGENCY,251789,Payroll Run 1 - Warrant 220123,71526,2022-01-28,382.09
1000,19,00000-515010-00000000-,1000-19-00000-515010-00000000-,ALABAMA MEDIA GROUP,0002815716,ACCT #2012251 PUBLICAT OF ITEMS  12/1/21-12/31/21,71418,2022-01-24,36544.93
1000,19,00000-515010-00000000-,1000-19-00000-515010-00000000-,ALABAMA MEDIA GROUP,0002804907,ACCT #2012251 PUB OF ITEMS FOR 11/1/21 - 11/30/21,71418,2022-01-24,32418.80
1000,43,00000-515370-00000000-,1000-43-00000-515370-00000000-,ALAMEX TRANSLATION SERVICES,21445,TRANSLATION SERVICE  CASE T7200379,71419,2022-01-24,75.00
1000,43,00000-515370-00000000-,1000-43-00000-515370-00000000-,ALAMEX TRANSLATION SERVICES,21444,TRANSLATION SERVICES FOR CASE# 21-11158087,71419,2022-01-24,75.00
1000,43,00000-515370-00000000-,1000-43-00000-515370-00000000-,ALAMEX TRANSLATION SERVICES,21433,TRANSLATION SERVICES FOR CASE# 11158683,71419,2022-01-24,60.00
1000,43,00000-515370-00000000-,1000-43-00000-515370-00000000-,ALAMEX TRANSLATION SERVICES,21434,TRANSLAION SERVICE FOR CASE 11158675,71419,2022-01-24,60.00
1000,52,52500-513010-00000000-,1000-52-52500-513010-00000000-,ALBERTVILLE MULCH COMPANY LLC,7242,PINE BARK FOR RESEARCH PARK - WEST MAINT,71548,2022-01-25,1400.00
1000,52,52500-513010-00000000-,1000-52-52500-513010-00000000-,ALBERTVILLE WOOD PRODUCTS INC,2022-1022,MULCH FOR RESEARCH PARK/FIRE STATION,71327,2022-01-18,1360.00
