fund,account,subaccount,long_account,vendor,invoice,line_item_desc,check,date,amount
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I004139,COM TX 040522/I004139,73888,2022-04-08,90.00
1000,15,15100-513030-00000000-,1000-15-15100-513030-00000000-,A-1 GLASS & AUTO LLC,I004139,COM TX 040522/I004139,73888,2022-04-08,145.00
1000,41,41110-515340-00000000-,1000-41-41110-515340-00000000-,ADORAMA INC,30752965,SOLE COURCE- DRONE FOR NAMACC UNIT,73626,2022-04-04,2270.00
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA CHILD SUPPORT PAYMENT CENTER,260335,Payroll Run 1 - Warrant 220403,73867,2022-04-08,22456.42
1000,19,00000-502160-00000000-,1000-19-00000-502160-00000000-,ALABAMA DEPARTMENT OF LABOR,2022 Q1 UNEMPLYMNT,2022 Q1 UNEMPLOYMENT PAYMENT,73395,2022-03-28,26379.27
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,TRANSFERTAG022383,TAG TRANS. # 022383 - HPD,73399,2022-03-28,1.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,TRANSFERTAG022240,TAG TRANSFER #022240 - HPD,73399,2022-03-28,1.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,080416,MU TAG TRANS. EQUIP.# 080416,73750,2022-04-05,1.25
1000,15,15100-515340-00000000-,1000-15-15100-515340-00000000-,ALABAMA DEPARTMENT OF REVENUE,080417,MU TAG TRANS. EQUIP.# 080417,73750,2022-04-05,1.25
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA DEPARTMENT OF REVENUE,260337,Payroll Run 1 - Warrant 220403,73869,2022-04-08,519.24
1000,00,00000-210130-00000000-,1000-00-00000-210130-00000000-,ALABAMA DEPARTMENT OF REVENUE,STATE TAX-MARCH 2022,MARCH 2022 STATE WITHHOLDING TAX,73746,2022-04-06,402627.94
1000,14,14300-513010-00000000-,1000-14-14300-513010-00000000-,ALABAMA FLAG & BANNER,336413,2022 BLANKET PO FLAGS-SUPPLIES-REPAIRS,73629,2022-04-04,749.00
1000,14,14300-513010-00000000-,1000-14-14300-513010-00000000-,ALABAMA FLAG & BANNER,336412,2022 BLANKET PO FLAGS-SUPPLIES-REPAIRS,73629,2022-04-04,37.50
1000,14,14300-513010-00000000-,1000-14-14300-513010-00000000-,ALABAMA FLAG & BANNER,3363931,2022 BLANKET PO FLAGS-SUPPLIES-REPAIRS,73751,2022-04-06,94.50
1000,14,14300-513010-00000000-,1000-14-14300-513010-00000000-,ALABAMA FLAG & BANNER,336360,2022 BLANKET PO FLAGS-SUPPLIES-REPAIRS,73891,2022-04-11,52.00
1000,00,00000-210180-00000000-,1000-00-00000-210180-00000000-,ALABAMA LAW ENFORCEMENT AGENCY,260328,Payroll Run 1 - Warrant 220403,73870,2022-04-08,387.44
1000,43,00000-515370-00000000-,1000-43-00000-515370-00000000-,ALABAMA LAW ENFORCEMENT AGENCY,ALEA22000984,SNAP NON-ENTRY/SNAP ADDITIONAL NON-ENTRY 1/22-3/22,PCard,2022-04-14,900.00
1000,52,52100-515370-00000000-,1000-52-52100-515370-00000000-,ALABAMA LAWN MASTERS INC,130645,LAWN MAINTENANCE (BLANKET),74055,2022-04-13,170.00
1000,52,52100-515370-00000000-,1000-52-52100-515370-00000000-,ALABAMA LAWN MASTERS INC,130534,LAWN MAINTENANCE (BLANKET),74055,2022-04-13,486.00
1000,52,52100-515370-00000000-,1000-52-52100-515370-00000000-,ALABAMA LAWN MASTERS INC,130657,LAWN MAINTENANCE (BLANKET),74055,2022-04-13,1246.00
